,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
0,Equal Parts School and Self-Taught,Academic,$40k - $60k,"ArcGIS,Excel,ggplot2,Gephi,Illustrator,Java,Leaflet,Mapbox,Plotly,Python,QGIS,R,Tableau,WebComponents,Pen&Paper,Otherphysicalmaterials,Canvas,GeoDa","PieChart,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Biology,Genderqueer,USA,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes
1,Mostly Self-Taught,Leadership,< $20k,"Excel,Tableau,Piktochart,Venngage,Flourish","LineChart,BarChart,PieChart,Infographics,PictorialVisualization",Journalism,Public Administration,Man,Tanzania,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no
2,Equal Parts School and Self-Taught,Leadership,$120k - $140k,"Excel,PowerBI,R,Tableau,Pen&Paper,PowerPoint","LineChart,BarChart,PieChart,Scatterplot,Treemap",Public sector,Mathematics,Man,USA,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
3,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Googledatastudio","LineChart,BarChart",Marketing,English!,Man,USA,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
4,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Googledatastudio","LineChart,BarChart",Marketing,English!,Man,USA,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
5,Mostly Self-Taught,Developer,$80k - $100k,"D3,Illustrator,Leaflet,PowerBI","BarChart,PieChart,Infographics,Treemap,NetworkDiagram",Private sector,Computer Science,Man,USA,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no
6,Mostly Self-Taught,Analyst,$100k - $120k,"PowerBI,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Information Technology,Man,USA,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
7,Mostly Self-Taught,Leadership,$20k - $40k,"D3,Angular,Excel,Java,R,React,Vega,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Private sector,Engineering,Man,Greece,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no
8,Equal Parts School and Self-Taught,Academic,$100k - $120k,"ArcGIS,D3,Excel,Illustrator,Leaflet,Mapbox,Processing,Python,QGIS,Pen&Paper,P5/Processing,Three.js","LineChart,BarChart,PieChart,Scatterplot,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic + Journalism,Philosophy,Man,USA,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes
9,Mostly Self-Taught,Leadership,$140k - $160k,"D3,Excel,Java,Mapbox,Python,R,Vega,Vue,WebGL,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,RasterMap",We are a private company but work in all sectors listed,Nuclear Engineering Technology ,Man,USA,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes
11,Mostly Self-Taught,Leadership,$200k+,"Illustrator,Mapbox,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private Sector and Academic,Music,Man,USA,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
12,Equal Parts School and Self-Taught,Student,$60k - $80k,"D3,Excel,Illustrator,Mapbox,kepler.gl,Python,Vega,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,SwarmChart,Force-DirectedGraph",Academic,math and physics,Man,USA,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no
13,Mostly Self-Taught,Academic,$140k - $160k,"Excel,ggplot2,Gephi,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,SwarmChart,Force-DirectedGraph",Academic,Business,Man,Australia,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no
